School,School Name,Percent
0301,Flintstone Elementary,0.943127962085308
0401,South Penn Elementary,0.724
0402,John Humbird Elementary,0.6962025316455697
0405,Fort Hill High,0.8429003021148036
0406,Washington Middle,0.8429752066115702
0502,Northeast Elementary,0.8381294964028777
0504,Braddock Middle,0.8162251655629139
0601,Center for Career & Technical Education,0.9338842975206612
0603,West Side Elementary,0.7722772277227723
0606,Allegany High,0.8344640434192673
0701,Cresaptown Elementary,0.8657243816254417
0702,Bel Air Elementary,0.9521531100478469
0801,Westernport Elementary,0.9264705882352942
0802,Westmar Middle,0.9439655172413793
1001,George's Creek Elementary,0.9767441860465116
1101,Frost Elementary,0.9210526315789473
1301,Mount Savage Middle,0.924812030075188
1302,Mt. Savage Elementary,0.949748743718593
2404,Mountain Ridge High School,0.929427430093209
2801,Beall Elementary,0.8595744680851064
2901,Cash Valley Elementary,0.8035087719298246
2902,Parkside Elementary,0.7951219512195122
A,All Allegany Schools,0.8594441711756026
1023,Brooklyn Park Middle,0.38968824940047964
1033,Glen Burnie High,0.35020519835841313
1043,Corkran Middle School,0.3338607594936709
1053,Lindale Middle,0.3991561181434599
1063,Marley Middle,0.32872340425531915
1082,Belle Grove Elementary,0.35294117647058826
1092,Brooklyn Park Elementary,0.34328358208955223
1102,Ferndale Early Education Center,0.32038834951456313
1112,George T. Cromwell Elementary,0.44936708860759494
1122,Freetown Elementary,0.25918762088974856
1132,Glendale Elementary,0.39948453608247425
1142,Hilltop Elementary,0.22645290581162325
1152,Linthicum Elementary,0.6855203619909502
1162,Marley Elementary,0.2565789473684211
1172,North Glen Elementary,0.2692307692307692
1182,Oakwood Elementary,0.37047353760445684
1192,Overlook Elementary,0.4984709480122324
1202,Park Elementary,0.2900763358778626
1212,Point Pleasant Elementary,0.5599128540305011
1232,Quarterfield Elementary,0.2895927601809955
1242,Richard Henry Lee Elementary,0.36134453781512604
1262,Woodside Elementary,0.32727272727272727
1274,Marley Glen School,0.5130434782608696
1323,North County High,0.39165985282093213
2013,Severna Park High,0.7988133764832794
2023,Northeast High,0.7022350396539293
2033,Northeast Middle,0.6533018867924528
2043,Severna Park Middle,0.8013888888888889
2052,Arnold Elementary,0.7490421455938697
2062,Belvedere Elementary,0.7300970873786408
2072,Benfield Elementary,0.8292682926829268
2082,Bodkin Elementary,0.8694779116465864
2092,Cape St. Claire Elementary,0.7558922558922558
2102,Folger Mckinsey Elementary,0.8367003367003367
2112,Fort Smallwood Elementary,0.8972162740899358
2132,High Point Elementary,0.6509863429438544
2142,Jacobsville Elementary,0.7724770642201835
2152,Jones Elementary,0.7440273037542662
2162,Lake Shore Elementary,0.8584905660377359
2172,Oak Hill Elementary,0.810064935064935
2182,Pasadena Elementary,0.7705382436260623
2192,Riviera Beach Elementary,0.8074074074074075
2202,Severna Park Elementary,0.7946666666666666
2212,Solley Elementary,0.5816901408450704
2222,Sunset Elementary,0.79
2233,Anne Arundel Evening High,0.41284403669724773
2243,Magothy River Middle,0.7567954220314735
2273,Chesapeake High,0.8451008645533141
2322,Broadneck Elementary,0.7303206997084548
2363,Broadneck High,0.728551974580118
2372,Windsor Farm Elementary,0.6565656565656566
2413,Severn River Middle,0.7041499330655957
2423,Chesapeake Bay Middle,0.8371877890841813
2432,Shipley's Choice Elementary,0.8876404494382022
3013,Arundel High,0.43912290825158684
3023,Arundel Middle,0.4306020066889632
3033,MacArthur Middle,0.20385050962627407
3062,Brock Bridge Elementary,0.05197505197505198
3063,Crofton High School,0.5640828856485035
3072,Crofton Elementary,0.6435185185185185
3082,Crofton Woods Elementary,0.6509433962264151
3092,Seven Oaks Elementary,0.10728744939271255
3102,Hebron - Harman Elementary,0.1432791728212703
3112,Jessup Elementary,0.2844677137870855
3122,Manor View Elementary,0.4163424124513619
3132,Maryland City Elementary,0.04645476772616137
3142,Meade Heights Elementary,0.14560439560439561
3152,Van Bokkelen Elementary,0.04450261780104712
3162,Millersville Elementary,0.7479224376731302
3172,Odenton Elementary,0.33707865168539325
3182,Pershing Hill Elementary,0.46060606060606063
3192,Ridgeway Elementary,0.45229681978798586
3202,Severn Elementary,0.22138836772983114
3212,South Shore Elementary,0.63
3222,Waugh Chapel Elementary,0.4671163575042159
3232,West Meade Early Education Center,0.5307017543859649
3242,Piney Orchard Elementary,0.44314558979808716
3263,Crofton Middle,0.5529775715390565
3272,Four Seasons Elementary,0.5052631578947369
3282,Nantucket Elementary,0.42857142857142855
3323,Meade High,0.1077928138124125
3333,Old Mill Middle North,0.3094758064516129
3343,Old Mill Middle South,0.475103734439834
3353,Old Mill High,0.3567251461988304
3362,Crofton Meadows Elementary,0.5206766917293233
3372,Glen Burnie Park Elementary,0.2693877551020408
3382,Southgate Elementary,0.3028169014084507
3392,Rippling Woods Elementary,0.31287128712871287
3414,Ruth Parker Eason School,0.3356164383561644
3423,Meade Middle,0.08827085852478839
4013,Annapolis High,0.28300138953219084
4023,Southern High,0.6912621359223301
4033,Annapolis Middle,0.13278008298755187
4043,Wiley H. Bates Middle,0.3742857142857143
4053,Southern Middle,0.6293888166449935
4054,AACPS Virtual Academy,0.298932384341637
4064,Mary Moss at Adams Academy,0.0
4074,Phoenix Academy,0.3494809688581315
4092,Annapolis Elementary,0.16666666666666666
4102,Carrie Weedon Early Education Center,0.5079365079365079
4112,Central Elementary,0.8129496402877698
4122,Davidsonville Elementary,0.7737104825291181
4132,Deale Elementary,0.8368421052631579
4142,Eastport Elementary,0.10661764705882353
4152,Edgewater Elementary,0.6695205479452054
4162,Georgetown East Elementary,0.05818181818181818
4182,Germantown Elementary,0.204
4192,Hillsmere Elementary,0.5934343434343434
4202,Lothian Elementary,0.49445676274944567
4212,Mayo Elementary,0.8189910979228486
4222,Walter S. Mills - Parole Elementary,0.026833631484794274
4232,Rolling Knolls Elementary,0.4626038781163435
4242,Shady Side Elementary,0.8325123152709359
4252,Traceys Elementary,0.5294117647058824
4262,Tyler Heights Elementary,0.0
4272,West Annapolis Elementary,0.6079295154185022
4283,Central Middle,0.7298985167837627
4293,South River High,0.7252378287632905
4304,Central Special School,0.5126050420168067
6113,Monarch Global Academy PCS Laurel Campus,0.10462287104622871
6123,Monarch Academy Annapolis ES,0.18028534370946822
6223,Chesapeake Science Point,0.248
6233,Monarch Academy,0.41237113402061853
A,All Anne Arundel Schools,0.4869352957445018
0051,Northwest EDLP at Milford Mill Academy,0.0
0052,Southwest EDLP at Woodlawn High School,0.0
0053,Northeast EDLP at Parkville High School,0.0
0055,Southeast EDLP at Dundalk High School,0.0
0058,Home Assignments-Secondary,0.0
0062,Campfield Early Childhood Center,0.04774535809018567
0069,Catonsville Center for Alternative Studies,0.0
0070,Meadowood Education Center,0.0
0072,Rosedale Center,0.0
0075,Crossroads Center,0.46405228758169936
0077,BCDC Educational Center,0.0
0101,Catonsville Elementary,0.44494047619047616
0102,Westchester Elementary,0.6099397590361446
0103,Westowne Elementary,0.3094512195121951
0104,Edmondson Heights Elementary,0.07532956685499058
0105,Johnnycake Elementary,0.07020872865275142
0111,Maiden Choice School,0.20155038759689922
0112,Dogwood Elementary,0.01953125
0113,Chadwick Elementary,0.058919803600654665
0115,Hillcrest Elementary,0.5792592592592593
0116,Woodbridge Elementary,0.07534246575342465
0151,Catonsville Middle,0.5486486486486486
0155,Southwest Academy,0.03571428571428571
0172,Woodlawn High,0.029960429621254947
0174,Catonsville High,0.5135135135135135
0175,Western School of Technology,0.14621131270010673
0202,Randallstown Elementary,0.0
0204,Featherbed Lane Elementary,0.018214936247723135
0205,Woodmoor Elementary,0.018115942028985508
0206,Scotts Branch Elementary,0.023504273504273504
0207,Church Lane Elementary,0.0
0209,Hebbville Elementary,0.0
0210,Powhatan Elementary,0.0
0211,Winfield Elementary,0.02702702702702703
0213,Winand Elementary,0.023696682464454975
0214,Hernwood Elementary,0.0
0216,Deer Park Elementary,0.0
0217,New Town Elementary,0.03571428571428571
0219,Watershed Public Charter,0.22053231939163498
0252,Northwest Academy of Health Sciences,0.024193548387096774
0253,Woodlawn Middle,0.017830609212481426
0254,Deer Park Middle Magnet School,0.024088541666666668
0256,Windsor Mill Middle,0.0
0271,Milford Mill Academy,0.01313755795981453
0272,Randallstown High,0.017497812773403325
0303,Bedford Elementary,0.0
0304,Wellwood International School,0.1257995735607676
0307,Milbrook Elementary,0.0728862973760933
0308,Fort Garrison Elementary,0.6783216783216783
0310,Summit Park Elementary,0.7021276595744681
0311,Woodholme Elementary,0.06774668630338733
0352,Pikesville Middle,0.14690451206715635
0353,Sudbrook Magnet Middle,0.1184346035015448
0371,Pikesville High,0.30621468926553674
0402,Owings Mills Elementary,0.04666666666666667
0403,Franklin Elementary,0.48223350253807107
0404,Chatsworth School,0.24758842443729903
0405,Timber Grove Elementary,0.0817490494296578
0406,Reisterstown Elementary,0.11823647294589178
0407,Glyndon Elementary,0.14035087719298245
0408,Cedarmere Elementary,0.14444444444444443
0410,Lyons Mill Elementary,0.01676829268292683
0451,Franklin Middle,0.1945392491467577
0452,Owings Mills High,0.045495093666369314
0472,Franklin High,0.26377410468319556
0473,New Town High,0.01711309523809524
0501,Fifth District Elementary,0.8762886597938144
0601,Prettyboy Elementary,0.9303482587064676
0701,Seventh District Elementary,0.8723404255319149
0772,Hereford High,0.8541341653666147
0801,Sparks Elementary,0.8259958071278826
0803,Lutherville Laboratory,0.46956521739130436
0805,Timonium Elementary,0.6487695749440716
0808,Pot Spring Elementary,0.3945578231292517
0809,Riderwood Elementary,0.7611548556430446
0810,Padonia International Elementary,0.08752327746741155
0811,Pinewood Elementary,0.6068840579710145
0813,Warren Elementary,0.29581151832460734
0814,Mays Chapel Elementary,0.42567567567567566
0852,Ridgely Middle,0.5885714285714285
0853,Cockeysville Middle,0.40336134453781514
0855,Hereford Middle,0.8529088913282108
0872,Dulaney High,0.4938403856454205
0903,Baltimore County Home & Hospital,0.0
0905,Stoneleigh Elementary,0.6891679748822606
0907,Rodgers Forge Elementary,0.75
0908,Villa Cresta Elementary,0.470125786163522
0909,Pleasant Plains Elementary,0.13602941176470587
0910,Oakleigh Elementary,0.14343434343434344
0911,Hampton Elementary,0.487627365356623
0912,Halstead Academy,0.02594810379241517
0915,Harford Hills Elementary,0.3787878787878788
0916,Cromwell Valley Elementary Regional Magnet,0.3394736842105263
0921,Pine Grove Elementary,0.5155393053016454
0922,Ridge/Ruxton School,0.29245283018867924
0923,White Oak School,0.37735849056603776
0925,West Towson Elementary,0.6356382978723404
0953,Dumbarton Middle,0.5444444444444444
0954,Loch Raven Technical Academy,0.16666666666666666
0957,Pine Grove Middle,0.39045553145336226
0971,Towson High,0.5935637663885578
0972,Parkville High,0.19330855018587362
0973,Loch Raven High,0.36310904872389793
0975,George W. Carver Center for Arts & Technology,0.43469591226321036
1001,Carroll Manor Elementary,0.864406779661017
1002,Jacksonville Elementary,0.8360995850622407
1104,Kingsville Elementary,0.840531561461794
1105,Perry Hall Elementary,0.40293040293040294
1106,Carney Elementary,0.26136363636363635
1107,Chapel Hill Elementary,0.49326599326599324
1109,Joppa View Elementary,0.3362962962962963
1110,Seven Oaks Elementary,0.10728744939271255
1111,Gunpowder Elementary,0.58
1113,Honeygo Elementary,0.48917748917748916
1151,Perry Hall Middle,0.4556473829201102
1171,Perry Hall High,0.4356929212362911
1202,Dundalk Elementary,0.2714468629961588
1205,Berkshire Elementary,0.40274599542334094
1206,Bear Creek Elementary,0.5746421267893661
1207,Norwood Elementary,0.33191489361702126
1210,Grange Elementary,0.5770925110132159
1212,Charlesmont Elementary,0.5344352617079889
1215,Battle Monument School,0.45614035087719296
1216,Sandy Plains Elementary,0.46108949416342415
1217,Logan Elementary,0.3988212180746562
1251,Dundalk Middle,0.220763723150358
1253,Holabird Middle,0.43597883597883597
1255,General John Stricker Middle,0.5534825870646766
1272,Patapsco High and Center for Arts,0.5428571428571428
1273,Dundalk High,0.3371571072319202
1302,Arbutus Elementary,0.44919786096256686
1307,Baltimore Highlands Elementary,0.19960474308300397
1308,Riverview Elementary,0.18411552346570398
1310,Relay Elementary,0.4584717607973422
1311,Lansdowne Elementary,0.2920353982300885
1313,Halethorpe Elementary,0.36531365313653136
1351,Lansdowne Middle,0.2311212814645309
1356,Arbutus Middle,0.4825174825174825
1371,Lansdowne High,0.32110778443113774
1403,McCormick Elementary,0.06109324758842444
1404,Fullerton Elementary,0.35892857142857143
1405,Elmwood Elementary,0.18929254302103252
1406,Red House Run Elementary,0.2956521739130435
1409,Shady Spring Elementary,0.06796116504854369
1451,Golden Ring Middle,0.1746031746031746
1452,Parkville Middle,0.35877862595419846
1473,Overlea High,0.15396578538102643
1502,Edgemere Elementary,0.8222222222222222
1503,Colgate Elementary,0.2316831683168317
1505,Victory Villa Elementary,0.18580060422960726
1506,Martin Boulevard Elementary,0.18076923076923077
1507,Chase Elementary,0.47802197802197804
1508,Essex Elementary,0.4845814977973568
1511,Chesapeake Terrace Elementary,0.8878205128205128
1512,Mars Estates Elementary,0.1488095238095238
1513,Sussex Elementary,0.3310810810810811
1514,Middlesex Elementary,0.32051282051282054
1515,Hawthorne Elementary,0.2172043010752688
1517,Battle Grove Elementary,0.45121951219512196
1518,Glenmar Elementary,0.09154929577464789
1519,Orems Elementary,0.45429362880886426
1520,Middleborough Elementary,0.598159509202454
1525,Deep Creek Elementary,0.1011764705882353
1527,Sandalwood Elementary,0.06623931623931624
1531,Seneca Elementary,0.4383561643835616
1533,Vincent Farm Elementary,0.30278884462151395
1534,Oliver Beach Elementary,0.9178082191780822
1554,Stemmers Run Middle,0.436046511627907
1556,Middle River Middle,0.31138287864534336
1557,Deep Creek Middle,0.20930232558139536
1559,Sparrows Point Middle,0.775
1572,Kenwood High,0.34376716090060405
1573,Sparrows Point High,0.7953941541186891
1574,Chesapeake High,0.8451008645533141
1575,Eastern Technical High School,0.46502057613168724
A,All Baltimore County Schools,0.3279766778538587
0101,Patuxent Appeal Elementary Campus,0.5657708628005658
0110,Mutual Elementary,0.7596685082872928
0111,Southern Middle,0.6293888166449935
0113,Patuxent High,0.6426540284360189
0114,St Leonard Elementary,0.572961373390558
0115,Dowell Elementary,0.6983842010771992
0116,Mill Creek Middle,0.6573275862068966
0201,Calvert Middle,0.5640243902439024
0206,Calvert Country School,0.6666666666666666
0207,Calvert Elementary,0.6296296296296297
0208,Barstow Elementary,0.5852187028657617
0209,Huntingtown Elementary,0.7538167938931297
0213,Calvert High,0.590134529147982
0215,Plum Point Elementary,0.7137931034482758
0216,Plum Point Middle,0.7363344051446945
0217,Huntingtown High School,0.7452135493372607
0302,Beach Elementary,0.6504065040650406
0312,Mount Harmony Elementary,0.6924342105263158
0314,Northern High,0.7273320287018917
0315,Northern Middle,0.7549668874172185
0316,Sunderland Elementary,0.7254290171606864
0317,Windy Hill Elementary,0.7087827426810478
0318,Windy Hill Middle,0.6706036745406824
0500,Calvert County Alternative School,0.0
A,All Calvert Schools,0.6724216265333939
0201,Greensboro Elementary School,0.43573264781491
0301,Denton Elementary School,0.5840266222961731
0302,Lockerman Middle School,0.5776536312849162
0401,Preston Elementary School,0.7566909975669099
0501,Federalsburg Elementary School,0.3628808864265928
0701,Ridgely Elementary School,0.7020785219399538
0703,North Caroline High School,0.6093220338983051
0801,Colonel Richardson High School,0.6018867924528302
0802,Colonel Richardson Middle School,0.574585635359116
A,All Caroline Schools,0.5762925598991173
0103,Taneytown Elementary,0.7549019607843137
0105,Northwest Middle,0.8354838709677419
0202,Francis Scott Key High,0.8398268398268398
0204,Runnymede Elementary,0.8424778761061947
0404,Sandymount Elementary,0.8213592233009709
0406,Mechanicsville Elementary,0.8609958506224067
0501,Eldersburg Elementary,0.7586206896551724
0503,Linton Springs Elementary,0.8744588744588745
0504,Sykesville Middle,0.7756410256410257
0505,Freedom District Elementary,0.8497495826377296
0506,Carrolltowne Elementary,0.7849117174959872
0507,Liberty High,0.811377245508982
0508,Oklahoma Road Middle,0.7614942528735632
0509,Piney Ridge Elementary,0.7051282051282052
0510,Century High,0.8035087719298246
0601,Manchester Elementary,0.867601246105919
0602,Manchester Valley High,0.8703427719821163
0603,Ebb Valley Elementary,0.8910133843212237
0701,Westminster East Middle,0.7450462351387054
0703,Westminster West Middle,0.7390804597701149
0704,Winters Mill High,0.6841620626151013
0705,William Winchester Elementary,0.684931506849315
0707,Westminster High,0.8031767955801105
0710,Westminster Elementary,0.7150735294117647
0711,Robert Moton Elementary,0.5935162094763092
0712,Carroll Springs School,0.8333333333333334
0714,Friendship Valley Elementary,0.8050847457627118
0715,Cranberry Station Elementary,0.7419928825622776
0716,Gateway School,0.8260869565217391
0717,Post Secondary Program,0.717391304347826
0718,PRIDE School,0.0
0726,Crossroads Middle School,0.0
0801,North Carroll Middle,0.8741830065359477
0804,Hampstead Elementary,0.8455696202531645
0806,Spring Garden Elementary,0.8250591016548463
0807,Shiloh Middle,0.8119935170178282
0903,Flexible Student Support,0.8148148148148148
0906,Winfield Elementary,0.02702702702702703
1201,Elmer A. Wolfe Elementary,0.9
1304,Parr's Ridge Elementary,0.7645687645687645
1305,Mount Airy Elementary,0.7517241379310344
1306,Mount Airy Middle,0.8021978021978022
1401,South Carroll High,0.8362255965292842
A,All Carroll Schools,0.8011894308294085
0104,Cecilton Elementary,0.723404255319149
0204,Bohemia Manor High,0.8174846625766872
0205,Chesapeake City Elementary,0.8539325842696629
0206,Bohemia Manor Middle,0.7772511848341233
0302,Elkton High,0.46458923512747874
0303,Elkton Middle,0.3867595818815331
0310,Gilpin Manor Elementary,0.3911007025761124
0311,Holly Hall Elementary,0.4878048780487805
0313,Cherry Hill Middle,0.6727272727272727
0315,Leeds Elementary,0.8463855421686747
0316,Thomson Estates Elementary,0.4945770065075922
0317,Kenmore Elementary,0.7804878048780488
0401,Cecil Manor Elementary,0.4166666666666667
0504,North East Middle,0.7801778907242694
0506,North East Elementary,0.6346863468634686
0510,Bay View Elementary,0.7246049661399548
0513,Charlestown Elementary,0.7169117647058824
0514,North East High,0.8033106134371957
0515,Elk Neck Elementary,0.8655256723716381
0606,Rising Sun Middle School,0.9061538461538462
0607,Rising Sun Elementary,0.896
0701,Perryville Middle,0.7837370242214533
0703,Perryville Elementary,0.7714987714987716
0704,Bainbridge Elementary,0.8395904436860068
0705,Perryville High,0.8187274909963985
0801,Conowingo Elementary,0.907928388746803
0904,Calvert Elementary,0.6296296296296297
0905,Rising Sun High,0.8997240110395585
A,All Cecil Schools,0.7303788903924222
0104,Milton M. Somers Middle School,0.3508771929824561
0105,Walter J. Mitchell Elementary School,0.6039603960396039
0106,La Plata High School,0.5770171149144254
0108,Maurice J. McDonough High School,0.2753195673549656
0109,Mary H. Matula Elementary School,0.4301675977653631
0302,Mt Hope/Nanjemoy Elementary School,0.6415094339622641
0501,Dr. Thomas L. Higdon Elementary School,0.708994708994709
0503,Piccowaxen Middle School,0.6909492273730684
0604,Dr. Samuel A. Mudd Elementary School,0.05405405405405406
0605,Thomas Stone High School,0.11659574468085106
0606,J. P. Ryon Elementary School,0.07807308970099668
0608,John Hanson Middle School,0.13885647607934656
0609,Dr. James Craik Elementary School,0.3816326530612245
0611,Dr. Gustavus Brown Elementary,0.05804749340369393
0612,Arthur Middleton Elementary School,0.07
0613,Benjamin Stoddert Middle School,0.05119047619047619
0616,Eva Turner Elementary School,0.06451612903225806
0617,Daniel of St. Thomas Jenifer Elementary School,0.03924914675767918
0618,William B. Wade Elementary School,0.09950248756218906
0619,Westlake High School,0.05303030303030303
0620,C. Paul Barnhart Elementary School,0.030456852791878174
0621,Mattawoman Middle School,0.028066528066528068
0622,Berry Elementary School,0.07779349363507779
0623,North Point High School,0.135656836461126
0624,William A. Diggs Elementary School,0.0901015228426396
0625,Theodore G. Davis Middle School,0.07810650887573964
0626,Mary B. Neal Elementary School,0.05581395348837209
0627,Billingsley Elementary School,0.09062980030721966
0701,Matthew Henson Middle School,0.08781127129750983
0703,J. C. Parks Elementary School,0.07742998352553541
0705,General Smallwood Middle School,0.31072210065645517
0710,Indian Head Elementary School,0.19331742243436753
0801,T. C. Martin Elementary School,0.4935064935064935
0802,St. Charles High School,0.08945260347129506
0902,Malcolm Elementary School,0.28125
1001,Gale-Bailey Elementary School,0.43859649122807015
1002,Henry E. Lackey High School,0.24533856722276742
A,All Charles Schools,0.1978046511627907
0205,Warwick Elementary School,0.877742946708464
